code,latest_quote_date,latest_close,ma5,ma10,ma20,ma60,ma120,rsi14,macd_dif,macd_dea,macd_hist,boll_upper,boll_mid,boll_lower,kdj_k,kdj_d,kdj_j,kdj_signal,boll_signal,obv,obv_signal,mfi14,atr14,ret_20d,ret_60d,vol_ratio_20d,drawdown_from_listing_high,technical_score,technical_state,buy_trigger,sell_trigger,quote_rows_for_ta
2648.HK,2025-12-31,66.5,67.58000030517579,68.65000076293946,69.62999992370605,65.91083354949951,62.69416678746541,42.67250226359036,-0.25140704204974895,0.3746505165694659,-1.2521151172384297,73.24304643013059,69.62999992370605,66.01695341728151,18.4075040434465,31.4311407690027,-7.639769407665895,中性,BOLL中轨下方,2943282.0,OBV未确认,50.4390313479756,2.2071435110909596,-0.1290111155334176,0.13772453604764867,,-0.1290111155334176,46,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,124
2649.HK,2026-05-11,3.900000095367432,3.900000095367432,3.900000095367432,3.900000095367432,4.226428622291202,4.226428622291202,14.235577047148226,-0.14134830491486605,-0.19605765863135263,0.10941870743297316,3.900000095367432,3.900000095367432,3.900000095367432,57.67090688445461,57.66120170445437,57.69031724445509,中性,中性,-10170700.0,OBV资金确认,,0.0,0.0,,,-0.370967707202287,27,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,42
2650.HK,2026-04-08,35.599998474121094,30.31199951171875,30.57999954223633,35.486999702453616,47.901333300272626,43.83563008027918,46.973594213520336,-4.735844095966925,-5.213799191878332,0.955910191822813,50.133545630496585,35.486999702453616,20.84045377441065,59.48775842904645,44.93407637723725,88.59512253266487,中性,BOLL中轨上方,2937090.0,OBV资金确认,42.38440996186155,4.798571177891323,-0.2964426966864754,-0.11618670424541366,,-0.452644557610667,36,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,119
2651.HK,2026-01-05,10.800000190734863,10.728000259399414,10.881000137329101,11.007500076293946,11.389333343505859,13.140500005086263,46.60771338613442,-0.15482976293693618,-0.14587260659416165,-0.01791431268554905,11.617965787527861,11.007500076293946,10.39703436506003,28.5915296843148,25.370920220670317,35.03274861160377,KDJ低位观察,BOLL中轨下方,-1656760.0,OBV未确认,58.95629288993208,0.33928585052490207,-0.027027043281519503,-0.15492954488317523,,-0.4782608795807003,23,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,123
2652.HK,2026-04-02,22.799999237060547,22.739999771118164,23.029999923706054,25.086000156402587,31.75000015894572,32.30866673787435,34.059782892198584,-2.8570901493773846,-2.932230747562012,0.15028119636925474,31.29413937677078,25.086000156402587,18.877860936034395,15.99416481202119,15.137123327636008,17.708247780791552,KDJ金叉修复,BOLL中轨下方,4358082.0,OBV资金确认,67.27745654042026,3.085714476449149,-0.38345052679030567,-0.2861615887341983,,-0.4153846349471655,28,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,120
2655.HK,2026-05-12,31.979999542236328,30.259999465942382,29.907999801635743,36.27799997329712,46.07116657892863,47.068645695845284,43.06421704824059,-4.671940170393491,-4.937831362347083,0.5317823839071849,59.81542864929578,36.27799997329712,12.740571297298462,44.512664669188126,31.46156080498116,70.61487239760206,中性,BOLL中轨下方,-57199020.0,OBV未确认,63.83471237673817,4.6014284406389505,-0.4216998194675524,-0.4394390890462688,,-0.5143507929646438,23,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,96
2656.HK,2026-03-16,140.5,120.9999984741211,97.09999923706054,80.2524995803833,74.1158332824707,58.994250027338666,85.87396138039256,13.704448192326339,5.491541140615212,16.425814103422255,133.16010864607762,80.2524995803833,27.34489051468899,93.30083551235585,90.0687901119978,99.76492631307195,KDJ高位钝化,BOLL上轨突破,38515155.0,OBV资金确认,95.6810547436022,8.939286640712194,1.2337042383408239,1.6559545547700374,,0.0,63,趋势延续,回踩20日线缩量企稳，或放量突破20日高点,放量跌破20日线，或从高点回撤≥15%,120
2657.HK,2026-05-12,52.0,54.56999969482422,55.43999977111817,57.45999984741211,64.86833368937174,70.95965931632303,40.45811230756245,-2.5337135557189328,-2.41374749429309,-0.23993212285168575,64.9943839698639,57.45999984741211,49.92561572496031,35.172752728040486,36.746944615479904,32.024368953161655,中性,BOLL中轨下方,496031.0,OBV未确认,57.34265492583728,4.650000163487024,-0.09170305676855894,-0.3824227804667921,,-0.44325482708271646,23,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,88
2658.HK,2026-05-12,44.900001525878906,44.3520004272461,44.42200050354004,44.97900047302246,46.91300004323323,47.51126202333321,50.099482383795284,-0.25282992514701874,-0.3099332610293296,0.11420667176462174,48.335450926671236,44.97900047302246,41.62255001937368,31.15797275076848,25.346304292779898,42.78130966674564,中性,BOLL中轨下方,4223641.0,OBV资金确认,39.58240945893089,2.1028570447649275,0.05946201968502551,-0.08179958844956514,,-0.23050552356410792,46,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,103
2659.HK,2026-05-12,27.479999542236328,26.50799980163574,36.42399997711182,61.74450006484985,103.64150025049845,96.42739984512329,21.229200596923008,-20.268538236766894,-17.07383012832291,-6.389416216887966,121.76636620439245,61.74450006484985,1.7226339253072425,7.408134314116422,10.328595115496167,1.5672127113569303,KDJ低位观察,BOLL中轨下方,16268093.0,OBV资金确认,44.74325836634562,10.837142399379186,-0.701304352801779,-0.7524324365564294,,-0.8625312637254682,23,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,100
2661.HK,2026-05-12,38.68000030517578,39.52000045776367,47.250000381469725,69.92500038146973,100.9358331044515,97.52637343354277,25.287338771842656,-21.626815035299522,-20.13480197780331,-2.9840261149924245,154.44180713624948,69.92500038146973,-14.591806373310021,12.704450164960441,17.164372639783597,3.78460521531413,KDJ低位观察,BOLL中轨下方,-739214.0,OBV未确认,54.17116132951964,7.09285763331822,-0.7334252330935043,-0.5936974627614211,,-0.7596022263987113,23,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,91
2665.HK,2026-05-12,7.300000190734863,7.46800012588501,7.568000078201294,8.12149999141693,9.264333319664,10.243499979972839,38.079986934417725,-0.42023708836907936,-0.4118092952267306,-0.01685558628469752,9.54084399088146,8.12149999141693,6.702155991952402,18.88745209899269,18.239529267992307,20.183297760993455,KDJ低位观察,BOLL中轨下方,69326700.0,OBV未确认,27.862302569775935,0.4735713686261858,-0.11835743645424801,-0.2822025431690005,,-0.5705882240744198,23,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,100
2670.HK,2026-04-14,242.0,238.32000122070312,237.12000122070313,215.12000045776367,153.91166699727376,140.39831985345407,72.17080620421926,23.816220644568546,24.37873004466318,-1.1250188001892667,267.3950080509553,215.12000045776367,162.844992864572,85.22656479042325,85.22001667355114,85.23966102416748,KDJ高位钝化,BOLL中轨上方,701842.0,OBV资金确认,74.36530421381116,17.557141985212063,0.4319526627218935,1.0251046025104604,,-0.01224489795918371,74,趋势延续,回踩20日线缩量企稳，或放量突破20日高点,放量跌破20日线，或从高点回撤≥15%,119
2671.HK,2026-05-12,4.159999847412109,4.107999992370606,4.052000021934509,4.048999989032746,4.042833344141642,4.628522737459703,55.36848374776545,0.002372223376248428,-0.016354866757884754,0.037454180268266364,4.1688067716668415,4.048999989032746,3.9291932063986494,80.39449487881673,63.45689937404902,114.26968588835216,中性,BOLL中轨上方,-2923900.0,OBV资金确认,78.39020683555464,0.05142857347215925,0.0,0.07772019701281274,,-0.5111633683282863,58,趋势转强,连续2日站上20日线且成交额≥20日均值1.3倍,跌破关键均线或放量破位,88
2675.HK,2026-05-12,52.0,52.33999938964844,52.589999771118165,53.85499992370605,57.43833325703939,58.974999916262746,42.45855976854259,-1.1217139744951936,-1.0715087348795542,-0.10041047923127877,57.69740853880176,53.85499992370605,50.01259130861035,31.317004018034208,33.85000656823969,26.250998917623235,中性,BOLL中轨下方,3863218.0,OBV未确认,34.04918331576076,2.23571423121861,-0.029850718650553554,-0.12678420375800536,,-0.26708946812310863,38,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,82
2676.HK,2026-05-12,190.6999969482422,172.66000061035157,163.6699996948242,151.65,135.68500048319498,133.07941204893822,74.77631061295328,13.088438584540427,8.944268727255208,8.288339714570437,189.0495484882896,151.65,114.25045151171044,78.11915523795712,74.98665975299966,84.38414620787205,中性,BOLL上轨突破,11272630.0,OBV资金确认,80.7087542275219,13.528570992606026,0.5656813807074041,0.4001468518439888,,-0.028527794276391738,69,趋势延续,回踩20日线缩量企稳，或放量突破20日高点,放量跌破20日线，或从高点回撤≥15%,102
2677.HK,2026-05-12,30.18000030517578,28.804000091552734,28.72000026702881,31.23400011062622,46.43866656621297,46.790491729486185,32.21889628997066,-4.081787083947578,-4.875732423592822,1.5878906792904885,36.9586147528557,31.23400011062622,25.509385468396736,43.81700775812364,28.027811821161848,75.39539963204723,中性,BOLL中轨下方,-689520.0,OBV未确认,21.63624145467621,1.7128573826381133,-0.0258230874396842,-0.5555228331817754,,-0.5555228331817754,23,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,61
2685.HK,2026-05-12,16.780000686645508,17.063999938964844,17.71800003051758,19.705000114440917,24.733333269755047,26.99211005114634,35.67438604318136,-1.7509647964047197,-1.6585874139503383,-0.18475476490876286,24.16087754950045,19.705000114440917,15.249122679381383,9.879028000662975,13.33524076393757,2.9666024741137846,KDJ低位观察,BOLL中轨下方,26172640.0,OBV未确认,50.218913704785706,1.8114287512643,-0.21515428693572303,-0.44473854838142646,,-0.5675257469949181,23,高位回撤预警,避免抄底，等待60日线修复,若反弹缩量且不过60日线，继续降低仓位,109
2687.HK,2026-05-12,131.8000030517578,138.32000122070312,139.93000183105468,140.8300018310547,139.703333791097,147.47549071966432,42.96433302295499,-0.1716552040290651,0.810088512361328,-1.963487432780786,149.52775591413183,140.8300018310547,132.13224774797754,35.24818562371787,48.25008273453712,9.244391402079373,中性,BOLL下轨弱势/反弹观察,3244290.0,OBV资金确认,68.05775806190192,7.157143729073661,-0.022979918346811345,-0.08281137194992783,,-0.2481460310480229,50,中性震荡,等待价格/成交确认,跌破关键均线或放量破位,102
